"year","Alcohol","Any opioid","Cocaine","Depressants","Heroin (probable)","Hydrocodone","MDMA","Methadone","Methamphetamine","Other opioids","Oxycodone","Prescription stimulants"
1997,,72.8813559322,37.28813559322,27.1186440678,62.71186440678,0,0,7.909604519774,0,14.12429378531,0.5649717514124,1.694915254237
1998,,79.90867579909,31.50684931507,24.20091324201,65.75342465753,1.369863013699,0,9.132420091324,0,18.72146118721,2.283105022831,0
1999,,70.91836734694,38.77551020408,17.34693877551,59.69387755102,0.5102040816327,0.5102040816327,9.69387755102,0,14.79591836735,2.040816326531,0.5102040816327
2000,50.94339622642,67.92452830189,41.98113207547,19.81132075472,48.11320754717,0.4716981132075,0.9433962264151,11.79245283019,4.716981132075,23.11320754717,5.660377358491,0.9433962264151
2001,62,69.33333333333,32.66666666667,30.66666666667,40.66666666667,2.666666666667,1.333333333333,16,3.333333333333,34.66666666667,12,0
2002,67.69230769231,73.84615384615,40.51282051282,29.74358974359,44.61538461538,2.051282051282,0.5128205128205,18.97435897436,6.666666666667,33.33333333333,10.25641025641,0.5128205128205
2003,52.15053763441,67.74193548387,27.95698924731,35.48387096774,33.33333333333,6.451612903226,0.5376344086022,25.2688172043,9.677419354839,44.08602150538,7.52688172043,0.5376344086022
2004,50.1976284585,70.3557312253,36.36363636364,30.0395256917,30.0395256917,5.533596837945,0.7905138339921,26.48221343874,7.114624505929,46.64031620553,12.64822134387,1.581027667984
2005,28.33333333333,75.41666666667,33.33333333333,30.83333333333,29.58333333333,6.666666666667,1.666666666667,33.75,10,55.41666666667,12.91666666667,0
2006,20.97902097902,68.88111888112,38.81118881119,28.67132867133,21.32867132867,6.293706293706,0.3496503496503,32.86713286713,6.643356643357,51.74825174825,15.38461538462,1.048951048951
2007,25.54744525547,74.08759124088,31.38686131387,28.10218978102,22.62773722628,8.394160583942,1.094890510949,29.92700729927,6.569343065693,55.83941605839,18.61313868613,0
2008,27.51937984496,76.74418604651,27.51937984496,37.98449612403,22.86821705426,8.139534883721,0.3875968992248,34.10852713178,5.038759689922,60.46511627907,17.05426356589,0.7751937984496
2009,23.22834645669,75.9842519685,23.62204724409,37.00787401575,19.29133858268,4.724409448819,0,33.46456692913,7.48031496063,64.56692913386,22.83464566929,1.181102362205
2010,25.81967213115,75.40983606557,18.85245901639,32.7868852459,20.90163934426,4.098360655738,0.8196721311475,27.04918032787,6.147540983607,56.55737704918,13.52459016393,0.4098360655738
2011,24.24242424242,76.62337662338,20.34632034632,39.82683982684,28.57142857143,4.761904761905,0,23.37662337662,8.658008658009,52.81385281385,18.61471861472,0.4329004329004
2012,24.45255474453,68.61313868613,17.51824817518,35.76642335766,30.65693430657,2.189781021898,0,20.43795620438,15.32846715328,40.87591240876,13.86861313869,1.094890510949
2013,28.90365448505,69.43521594684,24.58471760797,27.57475083056,32.8903654485,5.647840531561,0,17.60797342193,14.61794019934,41.52823920266,15.94684385382,0.3322259136213
2014,28.02547770701,73.24840764331,24.84076433121,28.02547770701,49.68152866242,5.095541401274,0.3184713375796,13.69426751592,22.29299363057,31.2101910828,10.82802547771,1.910828025478
2015,31.875,65.9375,17.5,23.125,41.25,3.4375,0.625,12.1875,26.875,30.3125,8.75,0.625